MSSV,MaHocPhan,HocPhan,TinChi,NhomHoc,Khoa,GPA_TichLuy,TinChiTichLuy,DiemQuaTrinh,ChuyenCan,TruyCapLMS,TyLeNopDungHan,DiemRenLuyen,GioTuHoc,DiemCuoiKy,NguyCo
SV20210008,IT4030,Phát triển ứng dụng Web,4,Nhóm 04,Công nghệ thông tin,3.0,117,7.6,65.5,14,62.8,70,6.6,6.8,0
SV20210008,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 04,Công nghệ thông tin,3.0,117,7.7,95.8,14,86.1,80,4.8,6.4,0
SV20210009,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Kỹ thuật dữ liệu,2.2,79,7.5,84.9,8,56.0,64,8.2,7.8,0
SV20210009,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Kỹ thuật dữ liệu,2.2,79,7.8,85.6,10,83.4,82,4.1,7.0,0
SV20210009,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Kỹ thuật dữ liệu,2.2,79,6.2,70.5,10,86.7,72,4.7,4.9,1
SV20210009,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Kỹ thuật dữ liệu,2.2,79,7.4,76.7,6,92.5,73,2.9,6.5,0
SV20210010,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Kỹ thuật dữ liệu,3.2,107,8.7,95.9,16,93.7,76,8.4,6.2,0
SV20210010,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Kỹ thuật dữ liệu,3.2,107,7.1,79.3,7,81.1,85,8.2,6.3,0
SV20210010,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Kỹ thuật dữ liệu,3.2,107,8.6,88.0,11,80.5,78,8.7,8.7,0
SV20210010,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Kỹ thuật dữ liệu,3.2,107,8.5,100.0,16,98.3,74,10.7,8.2,0
SV20210011,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Công nghệ thông tin,2.2,55,7.5,90.4,6,69.0,72,3.5,5.5,0
SV20210011,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Công nghệ thông tin,2.2,55,7.4,79.0,5,80.3,76,4.2,7.7,0
SV20210011,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Công nghệ thông tin,2.2,55,7.4,76.1,9,71.0,84,8.5,8.8,0
SV20210011,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 03,Công nghệ thông tin,2.2,55,6.5,79.6,7,90.2,55,3.9,3.7,1
SV20210012,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 04,Công nghệ thông tin,2.6,65,5.1,81.4,8,89.9,71,7.7,4.2,1
SV20210012,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 04,Công nghệ thông tin,2.6,65,7.8,79.9,22,69.2,90,6.9,6.0,0
SV20210012,IT4030,Phát triển ứng dụng Web,4,Nhóm 04,Công nghệ thông tin,2.6,65,8.0,85.7,10,77.2,70,6.1,7.9,0
SV20210012,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 04,Công nghệ thông tin,2.6,65,7.3,73.2,11,81.4,59,8.7,7.2,0
SV20210013,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Kinh tế số,2.5,77,7.6,77.7,13,76.0,82,3.5,6.4,0
SV20210013,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Kinh tế số,2.5,77,8.7,88.6,13,82.2,79,6.7,6.8,0
SV20210013,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Kinh tế số,2.5,77,8.7,81.2,13,91.9,65,3.6,7.0,0
SV20210013,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Kinh tế số,2.5,77,6.6,76.3,9,74.7,65,7.5,6.2,0
SV20210014,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Công nghệ thông tin,2.7,84,7.5,84.5,14,87.3,72,9.1,5.4,0
SV20210014,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Công nghệ thông tin,2.7,84,6.4,86.3,11,91.3,76,7.9,5.6,0
SV20210014,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Công nghệ thông tin,2.7,84,8.1,88.8,9,95.8,65,7.7,7.1,0
SV20210014,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Công nghệ thông tin,2.7,84,7.2,89.3,11,83.7,88,10.0,6.8,0
SV20210015,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Kỹ thuật dữ liệu,2.8,68,7.9,90.4,11,74.1,70,9.8,8.5,0
SV20210015,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Kỹ thuật dữ liệu,2.8,68,7.4,82.4,6,96.2,79,7.5,6.9,0
SV20210015,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Kỹ thuật dữ liệu,2.8,68,8.1,87.8,4,100.0,82,5.4,5.8,0
SV20210015,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 03,Kỹ thuật dữ liệu,2.8,68,7.2,83.5,12,95.2,75,6.2,6.5,0
SV20210016,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 04,Kinh tế số,2.9,88,7.8,100.0,7,96.1,66,12.8,7.8,0
SV20210016,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 04,Kinh tế số,2.9,88,7.8,87.7,14,75.9,90,6.8,8.7,0
SV20210016,IT4030,Phát triển ứng dụng Web,4,Nhóm 04,Kinh tế số,2.9,88,10.0,78.5,17,100.0,81,6.2,9.9,0
SV20210016,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 04,Kinh tế số,2.9,88,7.6,81.8,12,95.9,82,6.0,8.0,0
SV20210017,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Công nghệ thông tin,2.8,87,7.6,92.8,9,86.9,85,8.9,7.6,0
SV20210017,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Công nghệ thông tin,2.8,87,7.6,93.9,11,100.0,87,6.0,5.8,0
SV20210017,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Công nghệ thông tin,2.8,87,7.5,88.8,13,88.1,78,7.8,9.7,0
SV20210017,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Công nghệ thông tin,2.8,87,7.7,81.3,13,74.4,84,6.5,7.7,0
SV20210018,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Kinh tế số,3.3,104,9.5,100.0,12,99.4,69,10.7,7.7,0
SV20210018,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Kinh tế số,3.3,104,8.8,92.2,16,94.4,78,7.8,7.2,0
SV20210018,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Kinh tế số,3.3,104,8.1,91.0,16,82.8,77,4.0,5.1,0
SV20210018,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Kinh tế số,3.3,104,8.7,93.3,18,82.7,76,4.0,6.6,0
SV20210019,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Công nghệ thông tin,2.9,86,8.2,93.8,12,72.8,86,8.4,6.5,0
SV20210019,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Công nghệ thông tin,2.9,86,7.0,79.0,12,92.3,65,11.1,7.2,0
SV20210019,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Công nghệ thông tin,2.9,86,7.0,87.8,18,79.6,70,6.2,8.5,0
SV20210019,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 03,Công nghệ thông tin,2.9,86,7.3,94.4,11,80.8,88,9.3,7.7,0
SV20210020,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 04,Kinh tế số,2.7,94,8.4,87.5,5,77.4,76,4.1,6.3,0
SV20210020,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 04,Kinh tế số,2.7,94,7.3,75.7,9,74.0,68,10.0,7.4,0
SV20210020,IT4030,Phát triển ứng dụng Web,4,Nhóm 04,Kinh tế số,2.7,94,8.7,77.5,8,71.5,72,7.9,6.3,0
SV20210020,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 04,Kinh tế số,2.7,94,7.9,63.1,14,77.4,78,7.7,6.6,0
SV20210021,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Công nghệ thông tin,2.3,49,7.3,77.8,14,87.4,86,5.3,7.5,0
SV20210021,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Công nghệ thông tin,2.3,49,6.9,90.5,7,83.0,74,4.8,5.4,0
SV20210021,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Công nghệ thông tin,2.3,49,7.6,73.1,10,78.6,80,6.8,7.3,0
SV20210021,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Công nghệ thông tin,2.3,49,8.3,75.0,12,100.0,65,6.3,8.7,0
SV20210022,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Công nghệ thông tin,2.5,91,5.9,86.3,10,70.0,78,8.1,6.8,0
SV20210022,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Công nghệ thông tin,2.5,91,6.4,80.4,13,90.8,65,8.3,6.5,0
SV20210022,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Công nghệ thông tin,2.5,91,8.4,80.7,12,81.1,64,4.8,6.2,0
SV20210022,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Công nghệ thông tin,2.5,91,6.2,67.3,7,80.8,90,3.9,6.0,0
SV20210023,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Công nghệ thông tin,2.8,80,8.4,91.5,9,75.9,71,6.7,7.5,0
SV20210023,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Công nghệ thông tin,2.8,80,8.8,89.8,20,100.0,77,7.6,6.2,0
SV20210023,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Công nghệ thông tin,2.8,80,7.6,90.6,20,89.3,68,4.3,7.1,0
SV20210023,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 03,Công nghệ thông tin,2.8,80,6.6,79.9,10,79.0,73,8.3,5.1,0
SV20210024,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 04,Công nghệ thông tin,2.9,79,8.1,89.2,13,85.3,81,8.8,7.0,0
SV20210024,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 04,Công nghệ thông tin,2.9,79,7.4,82.3,14,83.2,85,7.4,5.3,0
SV20210024,IT4030,Phát triển ứng dụng Web,4,Nhóm 04,Công nghệ thông tin,2.9,79,8.9,78.1,12,88.0,81,7.1,6.5,0
SV20210024,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 04,Công nghệ thông tin,2.9,79,8.9,88.6,18,100.0,94,10.4,7.9,0
SV20210025,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Công nghệ thông tin,2.5,91,5.8,89.9,10,79.2,81,10.3,7.1,0
SV20210025,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Công nghệ thông tin,2.5,91,7.7,84.7,11,82.2,71,8.7,7.7,0
SV20210025,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Công nghệ thông tin,2.5,91,8.3,83.3,15,68.8,85,4.0,7.2,0
SV20210025,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Công nghệ thông tin,2.5,91,7.4,88.4,16,80.6,66,5.7,6.2,0
SV20210026,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Công nghệ thông tin,2.6,96,6.9,92.6,11,79.7,79,7.3,5.6,0
SV20210026,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Công nghệ thông tin,2.6,96,7.1,80.2,12,75.3,80,8.1,6.1,0
SV20210026,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Công nghệ thông tin,2.6,96,8.5,93.0,14,73.1,76,6.4,8.7,0
SV20210026,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Công nghệ thông tin,2.6,96,7.4,69.7,19,60.8,69,10.7,8.6,0
SV20210027,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Kỹ thuật dữ liệu,2.4,71,8.5,87.0,8,90.2,68,7.7,6.0,0
SV20210027,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Kỹ thuật dữ liệu,2.4,71,7.0,80.5,7,83.8,64,7.7,5.7,0
SV20210027,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Kỹ thuật dữ liệu,2.4,71,7.4,80.7,11,60.0,68,3.8,6.8,0
SV20210027,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 03,Kỹ thuật dữ liệu,2.4,71,7.6,96.7,9,68.3,82,5.5,8.2,0
SV20210028,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 04,Kinh tế số,2.9,74,6.7,69.6,8,100.0,71,6.1,6.9,0
SV20210028,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 04,Kinh tế số,2.9,74,7.6,74.1,7,95.5,61,7.1,7.8,0
SV20210028,IT4030,Phát triển ứng dụng Web,4,Nhóm 04,Kinh tế số,2.9,74,7.3,78.4,8,82.6,86,8.5,7.0,0
SV20210028,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 04,Kinh tế số,2.9,74,7.7,74.3,5,100.0,70,7.5,8.0,0
SV20210029,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Kinh tế số,1.9,33,5.4,64.4,3,55.3,52,4.7,6.0,0
SV20210029,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Kinh tế số,1.9,33,6.6,58.1,7,64.1,69,0.2,4.5,1
SV20210029,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Kinh tế số,1.9,33,6.9,91.6,9,87.5,75,5.1,6.0,0
SV20210029,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Kinh tế số,1.9,33,5.6,81.1,1,64.7,68,3.8,4.9,1
SV20210030,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Công nghệ thông tin,3.1,100,9.1,98.7,12,97.4,82,6.8,8.6,0
SV20210030,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Công nghệ thông tin,3.1,100,7.5,94.7,22,100.0,83,6.5,6.2,0
SV20210030,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Công nghệ thông tin,3.1,100,8.3,78.0,10,84.3,74,8.7,7.1,0
SV20210030,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Công nghệ thông tin,3.1,100,6.8,100.0,18,77.8,79,6.1,6.5,0
SV20210031,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Kinh tế số,2.9,79,7.5,83.7,10,81.8,77,7.3,5.4,0
SV20210031,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Kinh tế số,2.9,79,6.9,84.8,10,83.7,90,6.4,6.8,0
SV20210031,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Kinh tế số,2.9,79,8.0,92.8,13,87.2,84,6.8,8.8,0
SV20210031,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 03,Kinh tế số,2.9,79,6.9,69.2,8,84.3,72,4.2,6.6,0
SV20210032,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 04,Kinh tế số,3.2,101,9.3,88.4,10,72.3,76,6.9,7.1,0
SV20210032,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 04,Kinh tế số,3.2,101,8.2,86.7,13,91.2,81,8.7,7.7,0
SV20210032,IT4030,Phát triển ứng dụng Web,4,Nhóm 04,Kinh tế số,3.2,101,10.0,97.3,14,81.2,81,7.0,7.0,0
SV20210032,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 04,Kinh tế số,3.2,101,8.9,100.0,17,87.8,91,11.1,10.0,0
SV20210033,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Kinh tế số,2.8,92,7.6,82.0,8,91.9,81,7.6,8.2,0
SV20210033,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Kinh tế số,2.8,92,5.6,87.4,12,100.0,56,4.3,5.2,0
SV20210033,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Kinh tế số,2.8,92,7.4,65.8,10,100.0,85,5.9,6.7,0
SV20210033,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Kinh tế số,2.8,92,8.5,93.8,12,93.1,86,5.4,8.1,0
SV20210034,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Kinh tế số,2.8,80,7.0,88.1,8,72.7,73,5.2,6.7,0
SV20210034,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Kinh tế số,2.8,80,7.4,91.1,12,71.4,75,8.4,6.7,0
SV20210034,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Kinh tế số,2.8,80,8.8,80.2,14,78.6,70,7.4,6.5,0
SV20210034,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Kinh tế số,2.8,80,7.1,86.1,15,74.4,69,7.1,5.2,0
SV20210035,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Công nghệ thông tin,2.6,59,6.7,74.6,13,82.9,63,7.1,6.5,0
SV20210035,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Công nghệ thông tin,2.6,59,6.9,80.6,7,93.5,78,9.3,5.8,0
SV20210035,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Công nghệ thông tin,2.6,59,8.7,91.1,11,82.2,79,4.7,9.8,0
SV20210035,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 03,Công nghệ thông tin,2.6,59,8.3,77.7,5,71.4,80,4.6,6.6,0
SV20210036,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 04,Công nghệ thông tin,2.9,85,7.3,90.5,8,100.0,62,9.1,8.3,0
SV20210036,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 04,Công nghệ thông tin,2.9,85,6.2,100.0,8,79.7,74,3.9,6.6,0
SV20210036,IT4030,Phát triển ứng dụng Web,4,Nhóm 04,Công nghệ thông tin,2.9,85,7.5,74.9,11,88.7,70,6.3,6.5,0
SV20210036,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 04,Công nghệ thông tin,2.9,85,6.5,77.3,12,89.7,79,5.3,5.0,0
SV20210037,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Công nghệ thông tin,2.8,79,6.4,76.9,8,84.8,84,6.6,4.4,1
SV20210037,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Công nghệ thông tin,2.8,79,7.4,77.1,13,59.2,83,6.7,5.7,0
SV20210037,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Công nghệ thông tin,2.8,79,8.7,79.3,10,71.4,82,5.5,9.2,0
SV20210037,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Công nghệ thông tin,2.8,79,6.5,72.2,9,78.8,75,4.6,5.5,0
SV20210038,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Kinh tế số,3.0,82,7.6,100.0,12,89.2,83,7.9,5.7,0
SV20210038,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Kinh tế số,3.0,82,8.9,93.8,20,76.1,94,6.9,6.9,0
SV20210038,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Kinh tế số,3.0,82,8.5,87.0,8,83.3,86,9.3,7.3,0
SV20210038,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Kinh tế số,3.0,82,9.2,78.1,15,93.8,84,7.4,6.6,0
SV20210039,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Công nghệ thông tin,2.6,80,7.3,96.9,16,90.4,62,5.8,6.9,0
SV20210039,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Công nghệ thông tin,2.6,80,7.6,85.2,10,78.6,61,5.6,6.3,0
SV20210039,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Công nghệ thông tin,2.6,80,8.4,94.2,10,77.8,70,4.0,6.1,0
SV20210039,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 03,Công nghệ thông tin,2.6,80,8.4,98.1,8,78.8,70,7.4,8.2,0
SV20210040,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 04,Công nghệ thông tin,3.4,91,7.9,93.2,16,65.7,79,8.2,5.9,0
SV20210040,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 04,Công nghệ thông tin,3.4,91,7.8,80.3,15,91.2,84,7.6,6.6,0
SV20210040,IT4030,Phát triển ứng dụng Web,4,Nhóm 04,Công nghệ thông tin,3.4,91,10.0,98.0,14,100.0,65,7.5,8.1,0
SV20210040,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 04,Công nghệ thông tin,3.4,91,6.9,76.3,10,84.0,81,8.8,5.7,0
SV20210041,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Kỹ thuật dữ liệu,2.9,101,6.5,91.2,10,79.5,71,7.2,5.7,0
SV20210041,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Kỹ thuật dữ liệu,2.9,101,8.7,83.6,13,88.0,75,9.1,7.5,0
SV20210041,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Kỹ thuật dữ liệu,2.9,101,8.2,88.9,9,91.6,80,10.9,8.1,0
SV20210041,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Kỹ thuật dữ liệu,2.9,101,6.1,85.1,9,88.9,78,11.3,8.5,0
SV20210042,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Công nghệ thông tin,2.0,40,6.2,83.9,11,78.2,69,4.0,5.7,0
SV20210042,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Công nghệ thông tin,2.0,40,6.2,87.6,7,84.6,71,3.6,4.8,1
SV20210042,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Công nghệ thông tin,2.0,40,7.7,64.2,7,79.8,66,1.6,5.2,0
SV20210042,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Công nghệ thông tin,2.0,40,5.8,62.2,3,68.0,72,7.5,5.4,0
SV20210043,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Kinh tế số,2.5,73,7.1,97.5,3,89.2,83,7.8,7.9,0
SV20210043,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Kinh tế số,2.5,73,6.7,92.5,10,79.6,79,5.8,6.6,0
SV20210043,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Kinh tế số,2.5,73,7.8,86.5,7,78.6,78,4.0,6.6,0
