GioiTinh,KhuVucSinhSong,HocVanChaMe,HoanCanhGiaDinh,HocLucNamTruoc,TiLeChuyenCan,GioTuHocMoiTuan,ThamGiaHocThem,OnThiTruoc,ThoiGianMangXaHoi,KetQua
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,52.6,19.6,Có,Đã ôn thi,0.0,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Khá,72.9,14.7,Có,Không ôn thi,3.6,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Trung bình,91.2,7.0,Có,Đã ôn thi,4.1,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Giỏi,85.4,18.9,Không,Không ôn thi,5.6,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,99.4,7.4,Có,Đã ôn thi,6.3,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,81.6,8.1,Không,Đã ôn thi,3.3,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Trung bình,82.7,1.5,Có,Đã ôn thi,4.5,Trượt
Nam,Nông thôn,Đại học,Trung bình,Giỏi,87.4,11.1,Có,Đã ôn thi,1.8,Đỗ
Nam,Nông thôn,Đại học,Khó khăn,Khá,89.0,11.7,Không,Không ôn thi,2.1,Đỗ
Nam,Nông thôn,Đại học,Khó khăn,Khá,99.9,1.4,Không,Đã ôn thi,3.8,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Yếu,70.3,0.2,Có,Đã ôn thi,3.4,Trượt
Nữ,Nông thôn,Đại học,Khá giả,Trung bình,79.9,12.6,Không,Không ôn thi,3.0,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Khá,79.1,2.6,Không,Đã ôn thi,1.4,Trượt
Nữ,Thành thị,Đại học,Khó khăn,Khá,93.6,8.4,Không,Đã ôn thi,0.5,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,70.2,5.3,Có,Đã ôn thi,1.1,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,91.8,8.6,Không,Đã ôn thi,1.4,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Giỏi,68.9,15.8,Có,Không ôn thi,4.3,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Yếu,74.8,7.2,Không,Không ôn thi,0.4,Trượt
Nữ,Thành thị,Đại học,Khó khăn,Khá,95.3,2.3,Không,Không ôn thi,5.5,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,84.0,9.4,Có,Không ôn thi,2.8,Đỗ
Nam,Thành thị,Cao đẳng,Khá giả,Khá,76.4,0.2,Có,Không ôn thi,5.3,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,76.9,16.5,Có,Không ôn thi,2.5,Đỗ
Nam,Nông thôn,Cao đẳng,Khá giả,Yếu,79.7,12.9,Có,Đã ôn thi,6.3,Trượt
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Yếu,72.9,12.6,Không,Không ôn thi,3.0,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Giỏi,72.4,14.0,Không,Không ôn thi,1.6,Đỗ
Nữ,Nông thôn,Cao đẳng,Khá giả,Khá,72.9,5.9,Có,Đã ôn thi,0.6,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Khá,87.2,10.8,Có,Đã ôn thi,5.2,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Khá,78.8,8.7,Không,Đã ôn thi,7.1,Đỗ
Nữ,Thành thị,Thạc sĩ,Trung bình,Trung bình,67.1,7.7,Không,Không ôn thi,5.5,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Khá giả,Giỏi,87.5,9.3,Không,Không ôn thi,4.6,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Yếu,91.4,7.0,Có,Đã ôn thi,5.7,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,77.1,7.3,Không,Đã ôn thi,2.8,Trượt
Nam,Nông thôn,Cao đẳng,Khá giả,Trung bình,93.1,7.4,Không,Đã ôn thi,4.0,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khá giả,Giỏi,66.0,5.1,Có,Đã ôn thi,4.2,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Yếu,58.0,5.3,Có,Không ôn thi,4.3,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,70.0,10.8,Không,Không ôn thi,2.3,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Khá,94.1,10.5,Có,Đã ôn thi,4.2,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,82.8,7.0,Có,Không ôn thi,2.9,Đỗ
Nam,Nông thôn,Cao đẳng,Khá giả,Khá,100.0,19.6,Có,Đã ôn thi,6.0,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,57.8,11.2,Có,Đã ôn thi,2.2,Đỗ
Nam,Nông thôn,Thạc sĩ,Khó khăn,Khá,55.8,3.4,Có,Đã ôn thi,4.4,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Giỏi,94.6,6.3,Không,Đã ôn thi,3.6,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,96.5,0.0,Không,Đã ôn thi,1.9,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Giỏi,88.2,8.4,Không,Không ôn thi,3.4,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,80.9,6.4,Không,Không ôn thi,4.9,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Khá giả,Trung bình,78.4,7.4,Không,Đã ôn thi,5.4,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Yếu,98.9,9.8,Không,Đã ôn thi,5.4,Trượt
Nam,Thành thị,Thạc sĩ,Trung bình,Khá,92.7,13.4,Không,Đã ôn thi,0.8,Đỗ
Nữ,Nông thôn,Cao đẳng,Khá giả,Trung bình,75.6,7.0,Có,Đã ôn thi,1.1,Đỗ
Nam,Thành thị,Đại học,Khá giả,Trung bình,96.6,11.7,Không,Đã ôn thi,5.4,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Trung bình,83.6,5.0,Có,Không ôn thi,6.9,Trượt
Nữ,Thành thị,Đại học,Trung bình,Khá,81.1,7.2,Không,Đã ôn thi,4.3,Trượt
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,67.9,6.4,Có,Không ôn thi,3.0,Trượt
Nam,Nông thôn,Cao đẳng,Trung bình,Khá,100.0,3.8,Không,Không ôn thi,3.3,Đỗ
Nữ,Nông thôn,Cao đẳng,Khá giả,Yếu,100.0,6.2,Có,Không ôn thi,2.7,Trượt
Nữ,Nông thôn,Đại học,Khó khăn,Trung bình,87.9,4.4,Không,Đã ôn thi,3.3,Trượt
Nam,Thành thị,Cao đẳng,Trung bình,Giỏi,86.1,8.9,Không,Đã ôn thi,2.9,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,73.0,2.0,Không,Đã ôn thi,6.2,Trượt
Nam,Nông thôn,Cao đẳng,Trung bình,Trung bình,78.8,1.9,Có,Đã ôn thi,4.3,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Trung bình,74.1,7.5,Có,Không ôn thi,3.8,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,88.3,17.0,Không,Không ôn thi,5.0,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,99.1,14.5,Không,Đã ôn thi,5.3,Đỗ
Nam,Thành thị,Thạc sĩ,Trung bình,Trung bình,82.4,6.2,Không,Không ôn thi,1.8,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,86.8,11.2,Không,Đã ôn thi,2.9,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,89.8,1.2,Không,Đã ôn thi,1.1,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,100.0,13.1,Không,Đã ôn thi,3.4,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Trung bình,99.7,8.9,Có,Đã ôn thi,2.9,Đỗ
Nam,Thành thị,Đại học,Khó khăn,Khá,80.4,9.3,Không,Không ôn thi,3.1,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,79.4,1.6,Có,Đã ôn thi,6.3,Trượt
Nam,Thành thị,Đại học,Trung bình,Giỏi,61.5,15.3,Không,Không ôn thi,3.7,Đỗ
Nữ,Nông thôn,Thạc sĩ,Khó khăn,Yếu,87.6,7.1,Không,Đã ôn thi,4.9,Trượt
Nam,Nông thôn,Đại học,Khá giả,Trung bình,100.0,9.0,Không,Đã ôn thi,2.9,Đỗ
Nam,Thành thị,Cao đẳng,Khá giả,Khá,74.2,0.0,Không,Không ôn thi,2.9,Trượt
Nữ,Thành thị,Cao đẳng,Khó khăn,Giỏi,80.7,16.2,Không,Đã ôn thi,3.0,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,82.7,12.6,Không,Không ôn thi,2.5,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Khá,86.3,14.9,Có,Không ôn thi,3.1,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,99.2,4.8,Không,Đã ôn thi,2.9,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Khá,75.8,8.0,Không,Đã ôn thi,4.4,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Giỏi,92.3,7.0,Không,Đã ôn thi,1.3,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Giỏi,80.7,15.7,Không,Đã ôn thi,2.4,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Khá,83.0,5.1,Không,Đã ôn thi,5.4,Trượt
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,63.4,7.9,Có,Không ôn thi,0.1,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Giỏi,64.9,12.5,Có,Đã ôn thi,6.5,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Khá,71.8,2.3,Không,Đã ôn thi,3.2,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Giỏi,66.8,18.0,Không,Không ôn thi,6.3,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Trung bình,100.0,11.9,Có,Đã ôn thi,1.9,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Khá,89.5,5.2,Không,Đã ôn thi,0.0,Đỗ
Nữ,Thành thị,Đại học,Khá giả,Giỏi,100.0,5.7,Không,Đã ôn thi,2.4,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Trung bình,82.2,4.1,Không,Đã ôn thi,2.4,Trượt
Nam,Nông thôn,Đại học,Khá giả,Yếu,76.0,6.5,Không,Không ôn thi,3.0,Trượt
Nữ,Nông thôn,Đại học,Trung bình,Khá,90.4,16.4,Có,Đã ôn thi,5.0,Đỗ
Nữ,Nông thôn,Đại học,Khá giả,Trung bình,94.3,12.4,Có,Không ôn thi,2.9,Đỗ
Nam,Thành thị,Đại học,Khó khăn,Khá,100.0,1.7,Không,Đã ôn thi,2.3,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Trung bình,72.5,18.1,Không,Đã ôn thi,3.2,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,85.8,0.0,Không,Đã ôn thi,1.3,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,83.5,12.8,Không,Đã ôn thi,2.0,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Giỏi,78.5,13.8,Có,Đã ôn thi,4.0,Đỗ
Nữ,Nông thôn,Cao đẳng,Khó khăn,Khá,69.6,7.6,Có,Đã ôn thi,3.5,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,98.2,9.6,Có,Không ôn thi,4.3,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,55.1,11.2,Không,Đã ôn thi,7.1,Trượt
Nữ,Thành thị,Cao đẳng,Trung bình,Trung bình,81.8,0.0,Không,Đã ôn thi,3.4,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,67.4,5.8,Không,Đã ôn thi,1.5,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,86.5,13.1,Không,Đã ôn thi,2.8,Đỗ
Nam,Thành thị,Đại học,Khá giả,Yếu,100.0,9.8,Không,Không ôn thi,3.6,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,87.3,3.1,Có,Không ôn thi,3.8,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Giỏi,93.9,4.8,Có,Không ôn thi,2.7,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Khá,76.8,7.4,Có,Đã ôn thi,4.5,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,65.5,0.0,Có,Đã ôn thi,4.7,Trượt
Nam,Thành thị,Đại học,Trung bình,Trung bình,69.1,12.4,Có,Không ôn thi,2.6,Đỗ
Nam,Nông thôn,Cao đẳng,Khá giả,Trung bình,66.6,3.2,Không,Không ôn thi,3.0,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,79.7,12.2,Có,Không ôn thi,4.2,Đỗ
Nam,Nông thôn,Đại học,Khá giả,Trung bình,85.0,4.9,Không,Không ôn thi,1.1,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Trung bình,98.1,15.8,Có,Đã ôn thi,2.9,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Khá,78.3,4.7,Không,Không ôn thi,0.8,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Trung bình,71.6,6.7,Có,Không ôn thi,4.3,Trượt
Nữ,Thành thị,Cao đẳng,Trung bình,Trung bình,89.3,6.9,Không,Đã ôn thi,0.3,Đỗ
Nam,Thành thị,Cao đẳng,Khá giả,Yếu,92.4,7.9,Có,Không ôn thi,3.6,Trượt
Nam,Nông thôn,Đại học,Trung bình,Khá,82.4,9.5,Không,Không ôn thi,6.5,Trượt
Nam,Thành thị,Cao đẳng,Trung bình,Yếu,89.1,13.9,Không,Đã ôn thi,1.7,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,90.5,2.0,Không,Đã ôn thi,4.5,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,74.1,6.6,Không,Không ôn thi,7.0,Trượt
Nữ,Thành thị,Đại học,Trung bình,Khá,93.3,4.3,Không,Đã ôn thi,7.5,Trượt
Nam,Nông thôn,Đại học,Khó khăn,Khá,89.9,11.0,Không,Không ôn thi,2.7,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Trung bình,71.8,5.8,Không,Không ôn thi,5.2,Trượt
Nữ,Nông thôn,Đại học,Trung bình,Giỏi,100.0,9.9,Không,Đã ôn thi,2.1,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,86.3,3.3,Có,Không ôn thi,4.0,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,82.9,12.4,Có,Không ôn thi,1.9,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Khá,97.5,10.2,Không,Không ôn thi,5.8,Đỗ
Nữ,Thành thị,Đại học,Khá giả,Giỏi,78.8,11.8,Có,Không ôn thi,4.8,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,90.5,16.5,Có,Không ôn thi,4.0,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Khá,80.8,9.7,Có,Đã ôn thi,7.0,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Yếu,82.6,13.4,Không,Không ôn thi,0.8,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,68.4,15.6,Không,Không ôn thi,3.8,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khá giả,Giỏi,89.4,3.9,Không,Đã ôn thi,3.6,Đỗ
Nữ,Nông thôn,Đại học,Khá giả,Giỏi,84.2,17.3,Có,Không ôn thi,2.9,Đỗ
Nữ,Thành thị,Đại học,Khó khăn,Khá,68.4,7.8,Có,Không ôn thi,2.0,Trượt
Nam,Nông thôn,Đại học,Khá giả,Trung bình,100.0,0.0,Có,Đã ôn thi,2.2,Đỗ
Nữ,Nông thôn,Cao đẳng,Trung bình,Yếu,71.5,12.3,Không,Đã ôn thi,3.5,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,63.8,12.5,Không,Không ôn thi,2.2,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,77.3,8.2,Không,Không ôn thi,2.0,Trượt
Nữ,Nông thôn,Đại học,Khó khăn,Trung bình,60.1,4.0,Không,Đã ôn thi,1.3,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,100.0,12.7,Không,Đã ôn thi,4.4,Đỗ
Nữ,Nông thôn,Đại học,Khó khăn,Giỏi,63.7,3.6,Có,Không ôn thi,3.9,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Giỏi,77.6,11.4,Có,Không ôn thi,6.6,Đỗ
Nam,Thành thị,Cao đẳng,Trung bình,Giỏi,67.2,13.2,Không,Đã ôn thi,6.5,Đỗ
Nam,Thành thị,Cao đẳng,Khá giả,Khá,100.0,2.4,Có,Đã ôn thi,3.4,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,91.1,4.4,Không,Đã ôn thi,3.5,Đỗ
Nữ,Nông thôn,Cao đẳng,Trung bình,Khá,75.7,2.6,Có,Đã ôn thi,3.4,Trượt
Nam,Thành thị,Cao đẳng,Trung bình,Khá,80.9,2.1,Không,Đã ôn thi,0.0,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Khá,100.0,9.7,Không,Đã ôn thi,1.2,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,86.9,2.1,Có,Đã ôn thi,4.7,Trượt
Nữ,Thành thị,Đại học,Trung bình,Trung bình,61.4,1.6,Không,Không ôn thi,4.2,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,77.5,9.5,Không,Không ôn thi,1.2,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khá giả,Giỏi,93.3,8.0,Không,Không ôn thi,5.3,Đỗ
Nam,Nông thôn,Thạc sĩ,Trung bình,Khá,68.4,1.8,Không,Đã ôn thi,6.5,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,84.3,17.7,Không,Đã ôn thi,2.0,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,98.2,6.7,Có,Không ôn thi,2.9,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Khá,75.9,18.2,Không,Đã ôn thi,2.2,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khá giả,Yếu,96.6,7.5,Không,Đã ôn thi,3.2,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Giỏi,91.1,14.3,Không,Đã ôn thi,0.3,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,76.0,6.3,Có,Đã ôn thi,3.5,Trượt
Nữ,Thành thị,Cao đẳng,Khó khăn,Trung bình,84.4,4.9,Không,Đã ôn thi,6.5,Trượt
Nam,Thành thị,Đại học,Khó khăn,Trung bình,73.8,17.3,Có,Đã ôn thi,1.4,Đỗ
Nữ,Thành thị,Cao đẳng,Khó khăn,Khá,84.4,9.4,Không,Không ôn thi,4.1,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Khá,68.0,14.8,Có,Đã ôn thi,3.3,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Khá,100.0,14.8,Không,Đã ôn thi,3.8,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Trung bình,75.2,3.4,Không,Đã ôn thi,3.9,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,85.4,17.0,Có,Đã ôn thi,2.5,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,82.9,7.1,Có,Không ôn thi,4.8,Trượt
Nữ,Thành thị,Đại học,Trung bình,Giỏi,65.3,12.3,Không,Không ôn thi,3.3,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,89.1,1.4,Có,Đã ôn thi,0.0,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,78.5,13.6,Không,Đã ôn thi,6.6,Đỗ
Nam,Thành thị,Đại học,Trung bình,Khá,90.9,14.8,Không,Không ôn thi,6.5,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Yếu,97.3,13.8,Không,Đã ôn thi,0.0,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,85.6,11.6,Có,Đã ôn thi,5.9,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Yếu,83.8,0.0,Có,Đã ôn thi,3.4,Trượt
Nữ,Thành thị,Đại học,Trung bình,Giỏi,86.6,15.8,Không,Đã ôn thi,3.7,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,82.7,12.6,Có,Không ôn thi,3.4,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,73.9,2.3,Không,Đã ôn thi,1.7,Trượt
Nam,Nông thôn,Cao đẳng,Trung bình,Khá,57.2,4.4,Có,Đã ôn thi,4.2,Đỗ
Nữ,Nông thôn,Cao đẳng,Khó khăn,Giỏi,84.8,0.0,Có,Không ôn thi,4.2,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,88.6,5.9,Không,Không ôn thi,4.0,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Trung bình,76.6,15.7,Không,Đã ôn thi,5.4,Đỗ
Nữ,Nông thôn,Đại học,Khá giả,Trung bình,96.6,0.4,Có,Đã ôn thi,3.0,Đỗ
Nam,Nông thôn,Đại học,Khó khăn,Trung bình,76.0,19.2,Có,Đã ôn thi,3.4,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,73.7,12.8,Không,Không ôn thi,5.0,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Trung bình,79.0,5.4,Có,Đã ôn thi,5.3,Trượt
Nữ,Thành thị,Cao đẳng,Khá giả,Trung bình,90.0,6.5,Không,Đã ôn thi,5.3,Trượt
Nam,Nông thôn,Đại học,Trung bình,Giỏi,86.9,26.6,Không,Không ôn thi,3.9,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Trung bình,70.5,6.5,Không,Không ôn thi,4.9,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,74.5,8.5,Có,Đã ôn thi,3.7,Đỗ
Nam,Thành thị,Đại học,Trung bình,Khá,100.0,5.2,Không,Đã ôn thi,5.6,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Giỏi,100.0,13.3,Không,Không ôn thi,4.4,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Yếu,100.0,6.6,Không,Đã ôn thi,5.0,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,89.7,2.5,Không,Đã ôn thi,2.8,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Trung bình,77.2,14.6,Không,Đã ôn thi,2.8,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Khá,95.4,13.0,Không,Đã ôn thi,4.7,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Khó khăn,Khá,98.4,10.6,Không,Không ôn thi,3.4,Đỗ
Nữ,Nông thôn,Cao đẳng,Trung bình,Khá,100.0,4.0,Không,Đã ôn thi,4.3,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Giỏi,91.0,5.0,Có,Đã ôn thi,6.8,Đỗ
