MSSV,HeldOutFold
SV20211205,4
SV20211213,4
SV20211214,4
SV20211224,4
SV20211229,4
SV20211231,4
SV20211238,4
SV20211256,4
SV20211278,4
SV20211280,4
SV20211312,4
SV20211315,4
SV20211316,4
SV20211318,4
SV20211322,4
SV20211333,4
SV20211345,4
SV20211350,4
SV20211361,4
SV20211365,4
SV20211371,4
SV20211380,4
SV20211393,4
SV20211408,4
SV20211412,4
SV20211429,4
SV20211437,4
SV20211440,4
SV20211466,4
SV20211468,4
SV20211469,4
SV20211476,4
SV20211478,4
SV20211495,4
SV20210006,5
SV20210008,5
SV20210010,5
SV20210019,5
SV20210026,5
SV20210036,5
SV20210038,5
SV20210047,5
SV20210053,5
SV20210055,5
SV20210056,5
SV20210062,5
SV20210074,5
SV20210076,5
SV20210078,5
SV20210088,5
SV20210091,5
SV20210093,5
SV20210097,5
SV20210113,5
SV20210114,5
SV20210123,5
SV20210127,5
SV20210135,5
SV20210143,5
SV20210155,5
SV20210173,5
SV20210191,5
SV20210203,5
SV20210211,5
SV20210212,5
SV20210213,5
SV20210215,5
SV20210223,5
SV20210225,5
SV20210227,5
SV20210235,5
SV20210236,5
SV20210239,5
SV20210257,5
SV20210274,5
SV20210285,5
SV20210295,5
SV20210299,5
SV20210302,5
SV20210303,5
SV20210308,5
SV20210314,5
SV20210315,5
SV20210319,5
SV20210325,5
SV20210329,5
SV20210337,5
SV20210349,5
SV20210357,5
SV20210365,5
SV20210374,5
SV20210380,5
SV20210404,5
SV20210410,5
SV20210415,5
SV20210435,5
SV20210459,5
SV20210474,5
SV20210475,5
SV20210476,5
SV20210488,5
SV20210499,5
SV20210513,5
SV20210519,5
SV20210535,5
SV20210542,5
SV20210550,5
SV20210553,5
SV20210554,5
SV20210560,5
SV20210562,5
SV20210566,5
SV20210570,5
SV20210587,5
SV20210603,5
SV20210605,5
SV20210607,5
SV20210628,5
SV20210642,5
SV20210649,5
SV20210650,5
SV20210662,5
SV20210664,5
SV20210671,5
SV20210691,5
SV20210702,5
SV20210717,5
SV20210718,5
SV20210752,5
SV20210757,5
SV20210762,5
SV20210770,5
SV20210776,5
SV20210790,5
SV20210797,5
SV20210803,5
SV20210807,5
SV20210813,5
SV20210834,5
SV20210838,5
SV20210852,5
SV20210864,5
SV20210866,5
SV20210867,5
SV20210873,5
SV20210880,5
SV20210883,5
SV20210891,5
SV20210895,5
SV20210897,5
SV20210903,5
SV20210929,5
SV20210951,5
SV20210952,5
SV20210956,5
SV20210962,5
SV20210964,5
SV20210967,5
SV20210985,5
SV20210988,5
SV20210992,5
SV20210997,5
SV20211007,5
SV20211013,5
SV20211016,5
SV20211025,5
SV20211033,5
SV20211034,5
SV20211036,5
SV20211045,5
SV20211054,5
SV20211058,5
SV20211083,5
SV20211092,5
SV20211095,5
SV20211096,5
SV20211105,5
SV20211107,5
SV20211109,5
SV20211111,5
SV20211119,5
SV20211149,5
SV20211156,5
SV20211158,5
SV20211175,5
SV20211186,5
SV20211216,5
SV20211220,5
SV20211228,5
SV20211257,5
SV20211293,5
SV20211295,5
SV20211304,5
SV20211310,5
SV20211311,5
SV20211317,5
SV20211329,5
SV20211332,5
SV20211348,5
SV20211352,5
SV20211356,5
SV20211362,5
SV20211370,5
SV20211374,5
SV20211379,5
SV20211390,5
SV20211407,5
SV20211428,5
SV20211434,5
SV20211435,5
SV20211444,5
SV20211454,5
SV20211458,5
SV20211459,5
SV20211462,5
SV20211472,5
SV20211479,5
SV20211499,5
